month_number;day_number;month_name;synaxaire;synaxaire_category;is_martyre
4;1;Kiahk;Consécration de l’église de saint Chénouté, l’archimandrite;Consécration;0
4;2;Kiahk;Décès de saint Abba Hour, le moine;Décès;0
4;2;Kiahk;Décès de saint Hormina, l’anachorète;Décès;0
4;3;Kiahk;Martyre de saint Bastavrôs le nouveau;Martyre;1
4;3;Kiahk;Entrée de la sainte Vierge Marie au temple de Jérusalem;Entrée;0
4;4;Kiahk;Martyre de saint André l’apôtre le frère de saint Pierre;Martyre;1
4;4;Kiahk;Consécration de l’église de saint Jean d’Héraclée à Om el Kossour à Manfalout;Consécration;0
4;4;Kiahk;Commémoration des reliques des deux saints  abba Pichoï et abba Paul;Commémoration;0
4;5;Kiahk;Martyre de saint Victor d’Assiout;Martyre;1
4;5;Kiahk;Martyre de saint Isidore;Martyre;1
4;5;Kiahk;Décès du saint prophète Nahoum;Décès;0
4;6;Kiahk;Martyre de saint Patlasse, le prêtre;Martyre;1
4;6;Kiahk;Décès de saint Abraham ibn Zara’a, le 62ème pape de la prédication de saint Marc;Décès;0
4;7;Kiahk;Martyre de saint Bâninâ et saint Nàou;Martyre;1
4;7;Kiahk;Martyre de l’éminent architecte copte Saïd ibn Kâteb al Farghani;Martyre;1
4;7;Kiahk;Décès de saint Matthieu al;Décès;0
4;7;Kiahk;Fakhouri au mont Asfoun dans la région d’Esna;Fakhouri;0
4;7;Kiahk;Consécration de l’église de saint abba Éschyrône de Qualline;Consécration;0
4;7;Kiahk;Décès de saint Jean, évêque d’Armânt;Décès;0
4;8;Kiahk;Martyre de saint Aissé et de sa sœur sainte Thècle;Martyre;1
4;8;Kiahk;Martyre des saintes Barbara et Julienne;Martyre;1
4;8;Kiahk;Décès de saint Samuel le confesseur;Décès;0
4;8;Kiahk;Décès de saint Hiéraclas, 13ème patriarche de la prédication de saint Marc;Décès;0
4;9;Kiahk;Décès de saint Pœmen, le confesseur;Décès;0
4;10;Kiahk;Martyre de saint Choura d’Akhmîm;Martyre;1
4;10;Kiahk;Décès de saint Nicolas, évêque de Myre;Décès;0
4;10;Kiahk;Transfert des reliques de saint Sévère, patriarche d’Antioche;Transfert;0
4;11;Kiahk;Martyre de saint Ptolémée de Tentyris;Martyre;1
4;11;Kiahk;Décès de saint Pijimi, l’anachorète;Décès;0
4;11;Kiahk;Consécration de l’église de saint Claude à Bakour Abou Tig;Consécration;0
4;12;Kiahk;Commémoration de l'archange Michel;Commémoration;0
4;12;Kiahk;Décès de saint Hadra d'Assouan;Décès;0
4;12;Kiahk;Commémoration de saint Jean le confesseur;Commémoration;0
4;12;Kiahk;Tenue d'un concile à Rome pour juger le prêtre Novatien;Tenue;0
4;13;Kiahk;Martyre de saint Barsanuphius;Martyre;1
4;13;Kiahk;Consécration de l’église de l’archange Raphaël à Constantinople;Consécration;0
4;13;Kiahk;Décès du pape Marc VIII, le 108ème patriarche de la prédication de saint Marc;Décès;0
4;13;Kiahk;Décès de saint Apraxios;Décès;0
4;13;Kiahk;Décès de saint Elie, l’anachorète;Décès;0
4;13;Kiahk;Consécration de l'église de saint Missaïl l'anachorète;Consécration;0
4;14;Kiahk;Martyre de saint Behnâm et sainte Sarah, sa sœur;Martyre;1
4;14;Kiahk;Martyre de saint Amonius, évêque d’Esna (Latopolis);Martyre;1
4;14;Kiahk;Martyre des saints Siméon de Ménouf, abba Hour et abba Ménas l’ancien;Martyre;1
4;14;Kiahk;Décès du pape Christodule, le 66ème patriarche de la prédication de saint Marc;Décès;0
4;14;Kiahk;Décès de saint Christodule, l’anachorète;Décès;0
4;15;Kiahk;Décès de saint Grégoire, patriarche des Arméniens;Décès;0
4;15;Kiahk;Décès de saint Luc le stylite;Décès;0
4;15;Kiahk;Décès d’abba Ezéchiel d’ Hermonthis;Décès;0
4;16;Kiahk;Martyre des saints Harouâdj, Ananias et Khouzi d’Akhmîm;Martyre;1
4;16;Kiahk;Martyre des saints Euloge et Arsène du monastère el Hadid à Akhmîm;Martyre;1
4;16;Kiahk;Martyre de saint Emsah de Qift;Martyre;1
4;16;Kiahk;Décès de Gédéon le juste, l’un des juges des fils d’Israël;Décès;0
4;16;Kiahk;Consécration de l’église de saint Jacques le persan, surnommé l’intercis;Consécration;0
4;17;Kiahk;Commémoration du transfert des reliques de saint Luc le stylite;Commémoration;0
4;17;Kiahk;Décès de saint Elie au mont Pichwaw;Décès;0
4;18;Kiahk;Transfert des reliques de saint Tite à Constantinople;Transfert;0
4;18;Kiahk;Commémoration de saint Héraclès, le martyr, et de saint Philémon le prêtre;Commémoration;0
4;19;Kiahk;Décès du pape Gabriel VI, le 91ème patriarche de la prédication de saint Marc;Décès;0
4;19;Kiahk;Décès de saint Jean, évêque d'al Borollos et compilateur du Synaxaire;Décès;0
4;20;Kiahk;Martyre d’abba Elie, l’évêque du monastère al Mouharrak et de Qousiah;Martyre;1
4;20;Kiahk;Décès du prophète Aggée le juste;Décès;0
4;21;Kiahk;Martyre de saint Barnabé, l’un des douze disciples;Martyre;1
4;21;Kiahk;Commémoration de la Mère de Dieu, la très sainte Vierge Marie;Commémoration;0
4;22;Kiahk;Commémoration de l'archange Gabriel;Commémoration;0
4;22;Kiahk;Martyre de saint Pacôme et de sa sœur sainte Dhalusham;Martyre;1
4;22;Kiahk;Décès de saint Anastase, le 36ème patriarche de la prédication de saint Marc;Décès;0
4;23;Kiahk;Décès de David, le prophète et le roi;Décès;0
4;23;Kiahk;Décès de saint Timothée, l’anachorète;Décès;0
4;24;Kiahk;Martyre de saint Ignace le Théophore, l’évêque d’Antioche;Martyre;1
4;25;Kiahk;Décès de saint Jean Kamé, le prêtre;Décès;0
4;25;Kiahk;Décès de saint Pichaï au mont al Tôd;Décès;0
4;26;Kiahk;Martyre de sainte Anastasie;Martyre;1
4;26;Kiahk;Consécration de l’église des deux saints : abba Pichaï et abba Pierre;Consécration;0
4;27;Kiahk;Martyre de saint Psoté, l'évêque de Psoï;Martyre;1
4;28;Kiahk;Préparation de la fête de la Nativité de notre Seigneur Jésus Christ;Préparation;0
4;28;Kiahk;Martyre de cent cinquante hommes et vingt quatre femmes à Antinoë;Martyre;1
4;29;Kiahk;Glorieuse Nativité de notre Seigneur Jésus Christ;Glorieuse;0
4;29;Kiahk;Martyre de l’enfant Zacharie et ses compagnons à Akhmîm;Martyre;1
4;29;Kiahk;Commémoration des martyrs d’Akhmîm;Commémoration;0
4;30;Kiahk;Adoration de notre Seigneur par les mages;Adoration;0
4;30;Kiahk;Martyre de saint Michel de Toukh;Martyre;1
4;30;Kiahk;Décès de saint Jean, l’higoumène de Scété;Décès;0
5;1;Toubah;Martyre de saint Etienne, l’archidiacre;Martyre;1
5;1;Toubah;Martyre de saint Léonce;Martyre;1
5;1;Toubah;Martyre de saint Dioscores et de son frère saint Séclapios;Martyre;1
5;2;Toubah;Martyre de saint Gallinicus, évêque d’Oussime;Martyre;1
5;2;Toubah;Décès de saint Théonas, le 16ème patriarche de la prédication de saint Marc;Décès;0
5;2;Toubah;Décès de saint Youna;Décès;0
5;3;Toubah;Commémoration de l’assassinat des enfants de Bethléem;Commémoration;0
5;4;Toubah;Décès de saint Jean l’évangéliste;Décès;0
5;5;Toubah;Martyre de saint Eugénios, le soldat;Martyre;1
5;5;Toubah;Martyre de saint Bâniqouros;Martyre;1
5;5;Toubah;Décès du pape Théodose II, le 79ème patriarche de la prédication de saint Marc;Décès;0
5;5;Toubah;Décès du pape Matthieu 1er, le 87ème patriarche de la prédication de saint Marc;Décès;0
5;6;Toubah;Fête de la circoncision de Notre Seigneur Jésus Christ;Fête;0
5;6;Toubah;Martyre des quatre notables d’Esna;Martyre;1
5;6;Toubah;Commémoration de l’enlèvement du prophète Elie ;Commémoration;0
5;6;Toubah;Décès du pape Marcien, huitième patriarche de la prédication de saint Marc;Décès;0
5;6;Toubah;Décès du pape Marc III, 73ème patriarche de la prédication de saint Marc;Décès;0
5;6;Toubah;Décès du pape Gabriel III, 77ème patriarche de la prédication de saint Marc;Décès;0
5;6;Toubah;Décès de saint Basile le grand, archevêque de Césarée en Capadoce;Décès;0
5;6;Toubah;Consécration de l’église du martyr Isaac al Dafrawi;Consécration;0
5;7;Toubah;Décès de saint Sylvestre, le pape de Rome;Décès;0
5;8;Toubah;Restitution de la tête de l’apôtre saint Marc;Restitution;0
5;8;Toubah;Décès du pape Andronic, le trente septième patriarche de la prédication de saint Marc;Décès;0
5;8;Toubah;Décès du pape Benjamin 1er, le trente huitième patriarche de la prédication de saint Marc;Décès;0
5;8;Toubah;Décès du pape Gabriel V, le quatre vingt huitième patriarche de la prédication de saint Marc;Décès;0
5;8;Toubah;Consécration de l’église de saint Macaire le grand;Consécration;0
5;9;Toubah;Décès de saint Abraham, le compagnon d’abba Gawarguy;Décès;0
5;9;Toubah;Décès d’abba Phîs;Décès;0
5;10;Toubah;Préparation (برمون) de la fête de l'Epiphanie;Préparation;0
5;10;Toubah;Décès de saint Juste, le disciple d’abba Samuel le confesseur;Décès;0
5;11;Toubah;Fête de la Théophanie;Fête;0
5;11;Toubah;Décès du pape Jean VI, le 74ème patriarche de la prédication de saint Marc;Décès;0
5;11;Toubah;Décès du pape Benjamin II, le 82ème patriarche de la prédication de saint Marc;Décès;0
5;12;Toubah;Martyre de saint Théodore l’oriental;Martyre;1
5;12;Toubah;Martyre de saint Anatole;Martyre;1
5;12;Toubah;Lendemain de la fête de la Théophanie;Lendemain;0
5;12;Toubah;Commémoration de l’archange Michel;Commémoration;0
5;13;Toubah;Commémoration de la noce de Cana en Galilée;Commémoration;0
5;13;Toubah;Martyre de sainte Damiana;Martyre;1
5;13;Toubah;Décès de saint Théophile le moine;Décès;0
5;14;Toubah;Martyre de sainte Mohrati;Martyre;1
5;14;Toubah;Décès de saint Archélides;Décès;0
5;14;Toubah;Décès de saint Maxime frère de Dométien;Décès;0
5;15;Toubah;Décès du saint prophète Abdias;Décès;0
5;16;Toubah;Martyre de saint Philothée;Martyre;1
5;16;Toubah;Décès de saint Jean, le 48ème patriarche de la prédication de saint Marc;Décès;0
5;17;Toubah;Décès de saint Domitien (Domèce), le frère de saint Maxime;Décès;0
5;17;Toubah;Décès d'Abba Youssab al abah, évêque de Guérga;Décès;0
5;18;Toubah;Décès de saint Jacques, l’évêque de Nisibe;Décès;0
5;18;Toubah;Commémoration de Marie et Marthe, les deux sœurs de Lazare, le bien aimé;Commémoration;0
5;18;Toubah;Décès de saint Andrâs surnommé Abou l lif;Décès;0
5;19;Toubah;Découverte des reliques de saint abba Hour, saint Pissouri ainsi que sainte Ampira, leur mère;Découverte;0
5;20;Toubah;Martyre de saint Klog, le prêtre;Martyre;1
5;20;Toubah;Martyre de saint Bahna;Martyre;1
5;20;Toubah;Décès de saint Prochore, l’un des 70 disciples;Décès;0
5;20;Toubah;Consécration de l’église de saint Jean le détenteur de l'Evangile en or;Consécration;0
5;21;Toubah;Décès de notre Dame, la Vierge Marie, la sainte Mère de Dieu;Décès;0
5;21;Toubah;Décès de sainte Hilarie, la fille de l’empereur Zénon;Décès;0
5;22;Toubah;Décès de saint Antoine le grand, le père de tous les moines;Décès;0
5;23;Toubah;Martyre de saint Timothée, le disciple de l’apôtre saint Paul et l’évêque d’Ephèse;Martyre;1
5;23;Toubah;Décès d’abba Cyrille IV, le père de la réforme, le 110ème patriarche de la prédication de saint Marc;Décès;0
5;24;Toubah;Martyre d'Abba Bissada le prêtre;Martyre;1
5;24;Toubah;Décès de sainte Marie l’ascète;Décès;0
5;25;Toubah;Martyre de saint Askalâs;Martyre;1
5;25;Toubah;Décès de saint Pierre, l’adorateur;Décès;0
5;26;Toubah;Martyre des 49 saints, les anciens de Scété;Martyre;1
5;26;Toubah;Martyre de saint Bagouch;Martyre;1
5;26;Toubah;Décès de sainte Anastasie;Décès;0
5;27;Toubah;Martyre d’abba Fam (Phœbammon) d’Ossîm, le soldat;Martyre;1
5;27;Toubah;Martyre de saint Sérapion;Martyre;1
5;27;Toubah;Commémoration de l’archange Suriel;Commémoration;0
5;27;Toubah;Translation des reliques de saint Timothée, le disciple de l’apôtre saint Paul;Translation;0
5;28;Toubah;Martyre d’abba Kaou;Martyre;1
5;28;Toubah;Martyre de saint Clément, l’évêque d’Ankara;Martyre;1
5;28;Toubah;Martyre de saint Phylias, l’évêque de Tamyel Amdid;Martyre;1
5;29;Toubah;Commémoration de saint Syriaque, le combattant;Commémoration;0
5;29;Toubah;Décès de sainte Xani;Décès;0
5;30;Toubah;Martyre des trois vierges saintes Pistis, Helpis et Agapi et décès de leur mère Sophie;Martyre;1
5;30;Toubah;Décès du pape Ménas 1er, le 47ème patriarche de la prédication de saint Marc;Décès;0
5;30;Toubah;Décès de saint Abraham d’Edesse;Décès;0
6;1;Amshir;Martyre de saint Abâdyoun, évêque d’Antinoë;Martyre;1
6;1;Amshir;Commémoration du second concile œcuménique à Constantinople;Commémoration;0
6;1;Amshir;Commémoration de la consécration de la première église construite en l'honneur de saint Pierre, le sceau des martyrs, à Alexandrie;Commémoration;0
6;2;Amshir;Décès de saint Paul, le premier des Ermites;Décès;0
6;2;Amshir;Décès de saint Longin, abbé du monastère d’al Zougag;Décès;0
6;3;Amshir;Décès de saint Jacques le moine;Décès;0
6;3;Amshir;Décès de saint Hédra dans la roche de Benhadeb;Décès;0
6;4;Amshir;Martyre de saint Agabus, l’un des soixante dix disciples du Christ;Martyre;1
6;5;Amshir;Martyre de saint Hippolyte, pape de Rome;Martyre;1
6;5;Amshir;Commémoration de la translation des reliques des quarante neuf les anciens de Scété;Commémoration;0
6;5;Amshir;Décès du pape Agrippin, le 10ème patriarche de la prédication de saint Marc;Décès;0
6;5;Amshir;Décès de saint abba Pichaï, du monastère rouge;Décès;0
6;5;Amshir;Décès de saint Apollo, le compagnon de saint Abib;Décès;0
6;5;Amshir;Décès de saint abba Noub, le propriétaire de l’éventail en or;Décès;0
6;6;Amshir;Martyre des saints Aboukir, Jean ainsi que des trois vierges et de leur mère;Martyre;1
6;6;Amshir;Décès du pape Marc IV, le quatre vingt quatrième patriarche de la prédication de saint Marc;Décès;0
6;6;Amshir;Décès de saint Zânoufyous;Décès;0
6;7;Amshir;Décès du pape saint Alexandre II le 43ème patriarche de la prédication de saint Marc;Décès;0
6;7;Amshir;Décès du pape saint Théodore 1er le 45ème patriarche de la prédication de saint Marc;Décès;0
6;8;Amshir;Présentation de Jésus Christ au temple;Présentation;0
6;8;Amshir;Décès de saint Syméon, le vieillard;Décès;0
6;9;Amshir;Martyre de saint Paul le syriaque;Martyre;1
6;9;Amshir;Martyre de saint Siméon;Martyre;1
