copt_code_date,coptic_date,synaxaire,month_name,month_number,day_number,synaxaire_category,is_martyre
46,6 Kiahk,"Martyre de saint Patlasse, le prêtre",Kiahk,4,6,Martyre,1
46,6 Kiahk,"Décès de saint Abraham ibn Zara’a, le 62ème pape de la prédication de saint Marc",Kiahk,4,6,Décès,0
47,7 Kiahk,Martyre de saint Bâninâ et saint Nàou,Kiahk,4,7,Martyre,1
47,7 Kiahk,Martyre de l’éminent architecte copte Saïd ibn Kâteb al Farghani,Kiahk,4,7,Martyre,1
47,7 Kiahk,Décès de saint Matthieu al,Kiahk,4,7,Décès,0
47,7 Kiahk,Fakhouri au mont Asfoun dans la région d’Esna,Kiahk,4,7,Fakhouri,0
47,7 Kiahk,Consécration de l’église de saint abba Éschyrône de Qualline,Kiahk,4,7,Consécration,0
47,7 Kiahk,"Décès de saint Jean, évêque d’Armânt",Kiahk,4,7,Décès,0
48,8 Kiahk,Martyre de saint Aissé et de sa sœur sainte Thècle,Kiahk,4,8,Martyre,1
48,8 Kiahk,Martyre des saintes Barbara et Julienne,Kiahk,4,8,Martyre,1
48,8 Kiahk,Décès de saint Samuel le confesseur,Kiahk,4,8,Décès,0
48,8 Kiahk,"Décès de saint Hiéraclas, 13ème patriarche de la prédication de saint Marc",Kiahk,4,8,Décès,0
49,9 Kiahk,"Décès de saint Pœmen, le confesseur",Kiahk,4,9,Décès,0
410,10 Kiahk,Martyre de saint Choura d’Akhmîm,Kiahk,4,10,Martyre,1
410,10 Kiahk,"Décès de saint Nicolas, évêque de Myre",Kiahk,4,10,Décès,0
410,10 Kiahk,"Transfert des reliques de saint Sévère, patriarche d’Antioche",Kiahk,4,10,Transfert,0
411,11 Kiahk,Martyre de saint Ptolémée de Tentyris,Kiahk,4,11,Martyre,1
411,11 Kiahk,"Décès de saint Pijimi, l’anachorète",Kiahk,4,11,Décès,0
411,11 Kiahk,Consécration de l’église de saint Claude à Bakour Abou Tig,Kiahk,4,11,Consécration,0
412,12 Kiahk,Commémoration de l'archange Michel,Kiahk,4,12,Commémoration,0
412,12 Kiahk,Décès de saint Hadra d'Assouan,Kiahk,4,12,Décès,0
412,12 Kiahk,Commémoration de saint Jean le confesseur,Kiahk,4,12,Commémoration,0
412,12 Kiahk,Tenue d'un concile à Rome pour juger le prêtre Novatien,Kiahk,4,12,Tenue,0
413,13 Kiahk,Martyre de saint Barsanuphius,Kiahk,4,13,Martyre,1
413,13 Kiahk,Consécration de l’église de l’archange Raphaël à Constantinople,Kiahk,4,13,Consécration,0
413,13 Kiahk,"Décès du pape Marc VIII, le 108ème patriarche de la prédication de saint Marc",Kiahk,4,13,Décès,0
413,13 Kiahk,Décès de saint Apraxios,Kiahk,4,13,Décès,0
413,13 Kiahk,"Décès de saint Elie, l’anachorète",Kiahk,4,13,Décès,0
413,13 Kiahk,Consécration de l'église de saint Missaïl l'anachorète,Kiahk,4,13,Consécration,0
414,14 Kiahk,"Martyre de saint Behnâm et sainte Sarah, sa sœur",Kiahk,4,14,Martyre,1
414,14 Kiahk,"Martyre de saint Amonius, évêque d’Esna (Latopolis)",Kiahk,4,14,Martyre,1
414,14 Kiahk,"Martyre des saints Siméon de Ménouf, abba Hour et abba Ménas l’ancien",Kiahk,4,14,Martyre,1
414,14 Kiahk,"Décès du pape Christodule, le 66ème patriarche de la prédication de saint Marc",Kiahk,4,14,Décès,0
414,14 Kiahk,"Décès de saint Christodule, l’anachorète",Kiahk,4,14,Décès,0
415,15 Kiahk,"Décès de saint Grégoire, patriarche des Arméniens",Kiahk,4,15,Décès,0
415,15 Kiahk,Décès de saint Luc le stylite,Kiahk,4,15,Décès,0
415,15 Kiahk,Décès d’abba Ezéchiel d’ Hermonthis,Kiahk,4,15,Décès,0
416,16 Kiahk,"Martyre des saints Harouâdj, Ananias et Khouzi d’Akhmîm",Kiahk,4,16,Martyre,1
416,16 Kiahk,Martyre des saints Euloge et Arsène du monastère el Hadid à Akhmîm,Kiahk,4,16,Martyre,1
416,16 Kiahk,Martyre de saint Emsah de Qift,Kiahk,4,16,Martyre,1
416,16 Kiahk,"Décès de Gédéon le juste, l’un des juges des fils d’Israël",Kiahk,4,16,Décès,0
416,16 Kiahk,"Consécration de l’église de saint Jacques le persan, surnommé l’intercis",Kiahk,4,16,Consécration,0
417,17 Kiahk,Commémoration du transfert des reliques de saint Luc le stylite,Kiahk,4,17,Commémoration,0
417,17 Kiahk,Décès de saint Elie au mont Pichwaw,Kiahk,4,17,Décès,0
418,18 Kiahk,Transfert des reliques de saint Tite à Constantinople,Kiahk,4,18,Transfert,0
418,18 Kiahk,"Commémoration de saint Héraclès, le martyr, et de saint Philémon le prêtre",Kiahk,4,18,Commémoration,0
419,19 Kiahk,"Décès du pape Gabriel VI, le 91ème patriarche de la prédication de saint Marc",Kiahk,4,19,Décès,0
419,19 Kiahk,"Décès de saint Jean, évêque d'al Borollos et compilateur du Synaxaire",Kiahk,4,19,Décès,0
420,20 Kiahk,"Martyre d’abba Elie, l’évêque du monastère al Mouharrak et de Qousiah",Kiahk,4,20,Martyre,1
420,20 Kiahk,Décès du prophète Aggée le juste,Kiahk,4,20,Décès,0
